Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
104,4/14/2020 10:11,640131176.2,6129.579,-69.2,157.01,681148,76.792,520.74,-99.99,521.97,-99.99,523.2,-99.99,210.66,-9.99,211.15,-9.99,211.65,-9.99,1.79043E+23,9.9,105.887,1.879
105,4/14/2020 10:11,640131176.2,6129.479,-69.2,157.01,680283,76.695,532.01,-99.99,533.24,-99.99,534.47,-99.99,211.38,-9.99,211.87,-9.99,212.36,-9.99,1.82291E+23,9.9,105.885,1.879
106,4/14/2020 10:11,640131176.3,6129.378,-69.2,157,679410,76.596,543.6,-99.99,544.83,-99.99,546.06,-99.99,211.89,-9.99,212.37,-9.99,212.85,-9.99,1.85817E+23,9.9,105.882,1.879
107,4/14/2020 10:11,640131176.3,6129.278,-69.2,157,678545,76.499,555.3,-99.99,556.53,-99.99,557.76,-99.99,212.4,-9.99,212.87,-9.99,213.34,-9.99,1.89362E+23,9.9,105.88,1.88
108,4/14/2020 10:11,640131176.4,6129.178,-69.21,157,677681,76.401,567.22,-99.99,568.45,-99.99,569.68,-99.99,213.05,-9.99,213.51,-9.99,213.97,-9.99,1.92839E+23,9.9,105.878,1.88
109,4/14/2020 10:11,640131176.4,6129.077,-69.21,157,676807,76.303,579.48,-99.99,580.71,-99.99,581.94,-99.99,213.81,-9.99,214.26,-9.99,214.72,-9.99,1.96302E+23,9.9,105.875,1.88
110,4/14/2020 10:11,640131176.5,6128.977,-69.21,157,675942,76.205,591.84,-99.99,593.07,-99.99,594.3,-99.99,214.39,-9.99,214.84,-9.99,215.28,-9.99,1.99945E+23,9.9,105.873,1.88
111,4/14/2020 10:11,640131176.6,6128.876,-69.21,156.99,675069,76.107,604.57,-99.99,605.8,-99.99,607.03,-99.99,214.34,-9.99,214.78,-9.99,215.21,-9.99,2.04297E+23,9.9,105.868,1.88
112,4/14/2020 10:11,640131176.7,6128.776,-69.22,156.99,674204,76.009,617.47,-99.99,618.7,-99.99,619.93,-99.99,214,-9.99,214.42,-9.99,214.85,-9.99,2.08986E+23,9.9,105.865,1.881
113,4/14/2020 10:11,640131176.8,6128.675,-69.22,156.98,673331,75.911,630.78,-99.99,632.01,-99.99,633.24,-99.99,213.71,-9.99,214.13,-9.99,214.54,-9.99,2.13781E+23,9.9,105.861,1.881
114,4/14/2020 10:11,640131176.9,6128.575,-69.23,156.98,672466,75.813,644.28,-99.99,645.51,-99.99,646.74,-99.99,213.25,-9.99,213.66,-9.99,214.07,-9.99,2.18823E+23,9.9,105.857,1.881
115,4/14/2020 10:11,640131177,6128.474,-69.23,156.98,671592,75.715,658.24,-99.99,659.47,-99.99,660.7,-99.99,212.48,-9.99,212.88,-9.99,213.28,-9.99,2.24377E+23,9.9,105.852,1.881
116,4/14/2020 10:11,640131177.1,6128.373,-69.23,156.97,670718,75.616,672.56,-99.99,673.79,-99.99,675.02,-99.99,211.93,-9.99,212.31,-9.99,212.7,-9.99,2.29858E+23,9.9,105.849,1.882
